state,week,mean_contact,weighted_variance,nb.mu,nb.mu.se,nb.k,nb.k.se,nb.llk,nb.aic,n,prob_zero
MI,2021-04-11,7.205558679195958,155.6322951831524,6.677149423321932,0.11706419826675035,0.37350928525866206,0.006225799673448511,-25329.343884796217,50662.687769592434,9190,0.3337558881207125
MI,2021-04-18,7.2336878945996865,147.1785282856341,6.525266591097177,0.12096544598262028,0.37929557099874606,0.006709419562470522,-22260.585806115938,44525.171612231876,8122,0.3326806264320876
MI,2021-04-25,7.349296418798381,157.97956848565843,6.992388106646207,0.13306688232566954,0.3969650816746823,0.007287292629691403,-20726.965940909507,41457.931881819015,7349,0.3132652746398385
MN,2020-05-03,7.136162164144588,152.67279010484563,7.0926949542438695,0.1644749587102274,0.3674273701103263,0.00804140238557066,-14918.617699689852,29841.235399379704,5321,0.3307968464364937
MN,2020-05-10,7.666919086390519,154.6584492822736,7.512673821241711,0.15531084256225297,0.3910206024961222,0.007786607668612542,-18130.720275461972,36265.440550923944,6291,0.3086537622679689
MN,2020-05-17,8.173995125773619,165.92223362068808,7.887821836808744,0.13596199684010443,0.4215809377746153,0.007171068622243798,-24844.796280675335,49693.59256135067,8406,0.28456655911271206
MN,2020-05-24,8.703365009164225,174.93510884524537,8.420116074984794,0.1440461570226359,0.4446961642589856,0.007649615041481384,-24569.991540813906,49143.98308162781,8093,0.26428354672591386
MN,2020-05-31,9.13413872050834,191.31644487222664,9.293012535808728,0.16514253991351896,0.46697537003971423,0.008407627314704994,-22379.912809002777,44763.825618005554,7122,0.2418354638611677
MN,2020-06-07,9.409226125107242,186.025815521697,9.208286476246508,0.1598840794393195,0.4820415547779826,0.008647132621945547,-22777.419624947215,45558.83924989443,7237,0.23538425836959492
MN,2020-06-14,9.596659790983423,201.69238668473903,9.661458145659829,0.17236656104189868,0.5097393667786552,0.009538314048217025,-20826.923792824466,41657.84758564893,6490,0.2174335887246355
MN,2020-06-21,9.602658499042764,177.18693193201398,9.103214401871139,0.173145126612074,0.501659570462804,0.010010559075853215,-18313.34199664625,36630.6839932925,5815,0.22742123270586553
MN,2020-06-28,9.629719133642023,198.28276353363543,9.326816538531661,0.17476037118281548,0.48699051110660274,0.009395637585388123,-19447.063242345903,38898.126484691806,6153,0.23163809776651528
MN,2020-07-05,9.645451787246147,196.7305936301312,9.67495169843239,0.1626674017369466,0.5023587272313286,0.008836433843176474,-23752.568472555082,47509.136945110164,7408,0.22060152330197869
MN,2020-07-12,9.655510503955947,190.45410063968146,9.208502635753604,0.16438220287471625,0.4763706770745242,0.008696626155840995,-21768.712161555697,43541.424323111394,6930,0.23814211788026665
MN,2020-07-19,9.60297422486694,195.43038124299522,9.379787322324365,0.17610151732981708,0.48333415664325796,0.00934490498809239,-19537.604882059917,39079.209764119834,6175,0.23277960262815267
MN,2020-07-26,9.604367682938944,203.6565239859878,9.502842119309165,0.1802921749464051,0.47394537753806887,0.009117812718346172,-19489.121169813556,38982.24233962711,6153,0.23596407519341725
MN,2020-08-02,9.61586672737444,194.71885442166482,9.387321501102758,0.18100555148172953,0.47843124306277385,0.009452185791917426,-18688.766864182577,37381.53372836515,5913,0.23506756075969046
MN,2020-08-09,9.630367809210725,185.1327256282874,8.99992448396959,0.18027008540293343,0.4856497393899076,0.010054167769912293,-16922.551028402504,33849.10205680501,5411,0.23613057721838024
MN,2020-08-16,9.578217318343624,204.1457379697669,9.498007325427363,0.20092425623836596,0.48992466728748274,0.010696633346793992,-15252.560306381587,30509.120612763174,4797,0.22830686164793088
MN,2020-08-23,9.582963559249567,207.8702899752054,9.640112002590646,0.23732162620184757,0.48741119459615245,0.01233124599632269,-11350.81729367601,22705.63458735202,3557,0.22792041868465276
MN,2020-08-30,9.37348329107586,191.3325721284918,9.53488085706299,0.2204965316142331,0.48437388071560905,0.011571286643191746,-12907.111861525698,25818.223723051397,4058,0.2305320043033329
MN,2020-09-06,9.014161872346067,183.4249581232762,8.438641785311146,0.20141512308226206,0.43570416819116836,0.010275750024765298,-12819.208604649159,25642.417209298317,4235,0.26895979448752033
MN,2020-09-13,8.693558972007926,191.86756401941574,8.403391926722412,0.21277963275070447,0.4214655476254754,0.010398820266609465,-11693.389821957742,23390.779643915484,3886,0.27750251954038474
MN,2020-09-20,8.303520572123366,158.76962558373148,7.489573077019266,0.20001602329214194,0.42254772351481396,0.01113539494180218,-10197.81339536341,20399.62679072682,3507,0.28996329941666155
MN,2020-09-27,8.011868931910564,171.7810687035237,7.54389379400542,0.20310172040165136,0.39267807259209325,0.0100967999175812,-10649.59376985031,21303.18753970062,3694,0.3071290952063174
MN,2020-10-04,7.735072612243821,160.76922220985858,7.082748968908707,0.19457308823010078,0.39242062288746415,0.010354246171066374,-10070.34905722286,20144.69811444572,3562,0.31459580022655487
MN,2020-10-11,7.492185606056451,162.62045301317505,7.300838179996178,0.21673380923052812,0.3842379580953888,0.010830893467549353,-8848.430259580038,17700.860519160076,3111,0.31629185487295863
MN,2020-10-18,7.296426844293894,145.94752458025386,6.929518338906678,0.21113450682833698,0.3595341652456213,0.01025305324961673,-8738.82168726013,17481.64337452026,3152,0.33893286707080167
MN,2020-10-25,7.041758359019526,161.30316756021801,6.81889225146721,0.23500541255293877,0.35262774451624795,0.011270910981826752,-6905.030288576374,13814.060577152748,2513,0.3456678422437127
MN,2020-11-01,6.80597489635379,169.8546863411712,7.027212263104195,0.258608008589307,0.3630428886826091,0.012480014964981821,-5961.087262247934,11926.174524495867,2139,0.3348769283782153
MN,2020-11-08,6.476484731521579,139.19312216483368,6.212772585016449,0.2000747889672041,0.33302284492060363,0.009871245312475138,-8065.097623259784,16134.195246519568,3049,0.3708846100051277
MN,2020-11-15,6.1301079593757395,136.0365920658881,6.303927186575822,0.17797691736650342,0.3367639832971186,0.008748245073286818,-10446.390393794494,20896.78078758899,3926,0.36637723308243086
